"Table 27 -- World coarse grain trade: Selected exporters and importers by commodity (1,000 metric tons)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Export/import and country/region 1/,,1960/61,1961/62,1962/63,1963/64,1964/65,1965/66,1966/67,1967/68,1968/69,1969/70,1970/71,1971/72,1972/73,1973/74,1974/75,1975/76,1976/77,1977/78,1978/79,1979/80,1980/81,1981/82,1982/83,1983/84,1984/85,1985/86,1986/87,1987/88,1988/89,1989/90,1990/91,1991/92,1992/93,1993/94,1994/95,1995/96,1996/97,1997/98,1998/99,1999/00,2000/01,2001/02,2002/03,2003/04,2004/05,2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17,2017/18,2018/19
Corn exporters,United States,"6,326","9,922","10,195","11,558","13,080","16,988","12,547","14,515","12,980","15,872","13,078","16,719","28,892","34,853","28,384","39,590","42,774","49,479","54,180","61,801","59,420","49,640","47,160","46,932","46,427","31,147","39,330","43,978","50,512","60,034","44,575","40,686","42,572","33,106","58,689","52,753","46,711","37,789","52,030","49,493","48,329","47,271","40,924","48,809","45,347","56,084","54,214","60,663","47,758","49,696","45,162","38,342","18,262","50,691","46,831","51,098","55,593","63,636","60,000"
,Norway,59,105,83,85,102,97,94,87,90,124,86,94,91,102,101,94,69,86,80,60,48,75,44,76,28,0,6,6,7,0,,,,,56,9,47,66,48,56,31,33,19,28,13,17,33,61,46,59,54,71,74,104,72,87,82,48,100
,Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,122,151,151,97,72,100,26,24,11,3,3,69,57,71,79,113,100,100
,Trinidad And Tobago,12,9,10,19,25,29,32,43,42,51,44,55,32,55,60,62,69,70,72,88,97,104,133,120,110,100,101,114,113,107,98,100,96,87,92,96,73,88,86,101,95,104,106,99,112,111,113,109,96,99,83,87,92,94,76,92,89,86,100
,Albania,18,0,0,0,11,0,0,0,0,1,5,5,0,14,0,10,10,0,0,0,0,0,0,0,0,0,0,3,30,21,0,0,0,0,4,1,7,2,4,5,5,14,11,34,44,51,65,40,60,70,50,55,65,65,65,69,50,85,75
,Bolivia,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,7,1,7,4,1,16,18,6,1,1,1,0,3,2,2,3,3,9,77,4,4,6,6,8,128,59,70
,"New Zealand, No Islands",0,0,0,2,1,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,11,23,28,19,4,23,8,25,15,6,0,13,15,14,22,36,8,3,1,9,2,0,0,0,0,0,68,219,83,12,138,70
,Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,210,420,100,150,50,0,0,0,0,0,0,0,1,2,10,19,39,32,46,66,82,79,49,97,114,146,184,116,102,60,60
,Angola,,0,0,0,0,0,0,0,0,0,13,0,0,0,23,55,2,25,50,100,90,150,150,106,120,47,31,75,116,121,55,79,52,177,130,115,63,88,75,100,109,121,95,79,89,30,10,25,35,30,30,10,25,50,50,50,50,20,50
,Cambodia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,40,50,50
,Ghana,1,1,0,2,3,1,11,3,5,6,8,1,2,0,0,0,15,63,51,29,60,15,45,55,0,0,3,18,0,6,10,20,3,0,9,1,60,5,4,6,50,15,5,0,316,10,0,55,25,0,10,94,4,2,84,67,23,23,50
,Lesotho,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,42,63,79,127,165,10,0,10,0,23,0,0,0,25,0,0,0,24,50,0,25,0,0,0,24,50,0,0,5,37,65,70,130,110,90,125,80,120,120,65,50
,Macedonia (Skopje),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,33,84,26,26,85,85,65,60,45,51,17,68,61,62,42,64,46,57,72,49,44,54,54,68,57,50
,"Russian Federation, Begins 2/1992",,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,000","13,575","10,750","6,050","6,025","4,271","2,765",111,112,231,85,524,870,150,534,99,496,226,306,108,341,51,32,112,43,51,52,46,44,53,47,50
,Singapore,,100,144,134,9,10,16,4,2,7,139,171,275,150,140,180,188,368,363,420,377,544,450,487,449,345,317,507,296,252,251,171,126,140,43,63,105,55,55,55,52,87,142,32,4,12,22,74,43,43,43,54,59,57,49,34,47,47,50
,Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,850,670,950,890,490,200,43,0,0,0,0,0,0,0,0,0,0,0,0,0,5,25,10,10,8,0,18,54,24,26,41,50
,Haiti,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,4,0,16,0,5,5,5,18,29,25,10,4,6,0,1,0,5,6,0,38,9,8,7,0,3,0,0,0,0,0,0,0,1,0,0,0,4,11,11,3,14,34,16,40
,Hong Kong,63,86,146,109,63,96,86,117,141,176,158,163,137,150,160,160,160,150,304,315,325,325,307,250,268,300,248,332,313,183,226,186,89,80,16,10,18,19,20,20,208,94,104,81,87,104,61,28,31,29,31,32,28,54,32,31,41,41,40
,Guyana,,,,,,,,,,,,,,,6,6,8,6,1,3,9,1,15,15,0,15,0,0,0,0,0,0,0,0,0,0,0,0,7,12,13,9,6,0,3,19,17,32,24,34,43,41,26,21,21,31,38,38,30
,Ivory Coast,0,0,0,0,0,0,6,0,0,5,5,2,2,0,1,2,5,10,0,0,25,6,2,4,0,0,0,29,10,0,22,0,8,0,0,1,4,5,0,9,1,2,7,0,29,6,2,5,20,18,6,28,4,3,12,38,4,11,25
,Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,"1,800","1,750",400,819,980,86,34,2,11,8,37,85,26,4,23,0,14,12,24,24,12,21,38,49,44,66,28,28,29,39,25
,Burkina Faso,1,1,1,2,,,2,3,,,,14,10,43,,0,0,9,5,5,5,5,25,53,91,20,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,5,0,2,27,23,20
,Cape Verde Islands,,,,,,,,,,,,,,,,,,,,,,0,0,17,40,25,26,9,10,14,0,10,10,4,4,5,15,15,15,15,15,24,12,17,28,31,16,27,7,13,13,11,21,29,22,42,31,11,20
,Congo(Kinshasa),,15,60,40,68,60,72,81,38,95,60,85,95,85,150,180,200,128,180,187,165,170,118,28,10,24,3,0,19,14,22,4,7,99,19,0,0,5,0,0,2,0,7,0,2,0,10,10,10,10,0,10,10,20,10,20,25,20,20
,Pakistan,1,1,31,3,0,0,136,269,7,2,3,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,19,23,11,6,129,23,7,7,11,14,21,17,21,24,26,20
,Tanzania,0,57,22,0,4,15,7,4,0,47,0,43,79,161,291,106,48,34,0,29,263,234,123,175,100,85,34,0,0,0,0,37,35,207,78,8,43,92,80,80,37,6,34,91,36,171,4,30,25,5,10,30,25,50,5,5,100,5,20
,Cameroon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,23,25,20,7,0,9,10,15,25,7,3,5,0,13,9,15,15,30,9,5,8,46,40,25,5,15,25,5,15,10,30,25,35,45,15,15
,Burundi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,0,0,0,4,0,5,0,2,39,7,16,0,0,10,0,5,10,40,10,50,50,10,10,10
,Chad,,,,,,,,,,,,,,,,,,,,,,,5,5,34,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,25,25,25,25,25,25,25,25,10,10,10
,Congo(Brazzville),,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,3,0,3,0,0,2,0,2,0,0,0,0,0,0,3,5,6,2,0,0,4,5,5,5,10,5,20,10,10,10,10,10,10,10,10
,North Korea,0,0,5,0,0,0,0,0,0,0,0,0,100,180,0,0,0,0,0,0,0,0,0,0,0,0,0,169,254,306,232,349,383,293,118,76,503,347,200,150,688,288,150,225,325,150,50,225,150,100,125,150,125,20,15,3,52,10,10
,Mauritania,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,6,0,0,0,10,40,0,0,0,10,0,10,10,5,20,10
,Paraguay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,2,4,7,27,7,3,4,6,4,7,9,16,9,9,16,18,16,11,9,11,16,12,10
,Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,17,2,3,4,8,8,6,8,4,18,10
,South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,10,10,5,5,5,10,10
,Argentina,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,1,2,1,2,2,16,43,2,3,32,10,1,3,4,6,4,7,8,4,1,3,2,8,5,5
,Bhutan,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,5,5,10,5,0,0,3,4,4,1,5
,Myanmar (Burma),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,19,0,0,0,0,0,0,0,0,0,0,5,5,0,5,5,5
,Madagascar (Malagasy),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2,0,0,0,1,0,0,2,1,5,3,2,0,0,0,6,4,9,1,6,7,6,2,6,4,5
,Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,110,95,65,95,72,54,0,0,2,1,0,0,0,0,0,13,0,0,12,35,0,0,0,5,5,5,5,5,5,5,5
,Somalia,,0,0,0,0,0,0,0,0,0,0,28,0,0,11,51,50,50,50,70,125,25,25,25,38,41,12,17,11,3,2,2,92,48,0,4,0,0,13,6,0,2,6,5,7,8,0,40,50,30,25,5,5,0,5,5,5,5,5
,Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,90,90,90,90,50,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,5,10,5,5,5,5,5,5,5
,Togo,,,,,,,,,,,,,,,,0,0,0,0,4,3,3,3,13,5,5,0,2,0,0,4,6,1,2,1,5,0,0,0,0,0,0,0,0,0,0,3,5,0,5,10,5,5,5,5,5,5,5,5
,Uganda,0,0,2,0,0,1,1,1,0,0,3,0,4,4,0,0,0,0,0,30,100,58,4,0,25,10,0,0,0,9,0,6,0,0,0,44,11,17,20,9,0,0,12,17,0,30,0,0,0,0,5,10,5,5,5,5,5,5,5
,Zambia,,0,0,0,10,10,3,2,0,31,80,50,0,0,0,0,0,0,0,120,35,35,220,193,150,115,20,37,8,0,119,474,229,43,43,21,66,199,100,100,110,122,135,25,2,154,5,5,60,5,5,0,0,5,5,5,5,5,5
,"Ethiopia, United Ends 6/1993 & New Begin",0,0,0,0,0,0,4,0,0,0,1,0,5,42,0,0,0,11,0,0,0,0,1,5,70,45,17,0,2,0,0,0,0,1,4,0,0,0,0,0,0,0,4,0,0,0,0,10,0,0,0,0,0,2,2,2,4,3,3
,Australia (No Islands),0,0,0,0,0,2,1,6,1,1,0,1,1,1,1,2,2,4,4,3,10,11,15,12,30,5,5,6,0,0,3,0,0,6,85,6,0,1,0,1,0,0,48,0,0,22,0,31,19,0,1,1,1,2,0,1,2,2,2
,Afghanistan,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,35,0,0,0,0,0
,Benin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,5,5,0,4,0,0,0,0,18,1,0,0,0,0,0,0,2,2,0,0,151,0,0,5,1,23,1,2,1,1,2,1,0,0,0
,Central African Republic,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0
,"Eritrea, Begins 7/1993",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,13,12,0,0,0,11,4,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0
,The Gambia,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Guinea,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,0,0,0,0,0,0,0,0,0,0
,Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,215,370,675,215,495,165,23,0,0,1,0,2,2,0,0,0,0,0,0,2,0,8,2,0,0,0,5,5,5,0,0,0
,Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,50,50,50,60,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,1,0,4,0,0,0,0
,Laos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,10,5,0,0,5,0,0,5,5,5,0,0,5,5,5,0,0,0
,Mali,0,0,0,0,0,0,0,0,0,0,0,2,3,76,0,8,0,7,0,3,30,10,14,60,123,32,20,30,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,5,25,5,5,0,0,0,0,0
,Sierra Leone,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,160,180,285,185,185,95,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,1,1,1,0,0
,World,-121,930,454,-263,"2,193","1,876",539,471,613,"1,160","1,026","2,327","1,510","1,582","3,937","1,110","2,267","7,217","2,780","1,485",-946,-661,-855,69,86,324,"2,514","1,788",-137,"1,569",493,"1,149",-151,657,"3,447","-1,308",840,172,"2,412",400,903,930,929,"2,098",-254,"2,784","1,030","-1,804","1,235","1,793",-180,"2,040","1,398","4,357","2,690","6,232","2,446","1,024","3,495"
,Total 3/,"12,644","18,260","19,791","22,344","23,305","27,331","25,989","28,552","28,119","29,191","30,104","34,481","38,907","45,884","44,802","52,542","55,456","63,643","67,120","73,201","77,820","66,930","63,225","61,075","66,145","53,805","56,878","58,797","65,993","74,537","58,775","63,037","62,565","57,444","71,945","64,831","66,600","63,073","68,715","72,049","75,906","72,739","76,782","79,037","75,974","82,547","91,330","98,160","83,609","92,747","91,714","103,714","100,747","130,831","128,390","144,930","141,789","150,668","164,625"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sorghum importers,EU-28,"1,720","1,816","2,465","2,178","2,293","3,163","3,323","1,728","1,119",780,"1,950","1,208",688,"1,738","1,931","2,732","3,766","2,370","1,067","1,515",738,"2,166",588,"1,122",333,78,479,696,766,381,236,204,439,253,585,977,163,249,299,258,9,41,208,"1,329",218,77,"1,495","5,247",66,7,922,126,291,184,131,119,194,486,800
,China (Mainland),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,23,0,0,0,3,0,0,0,0,0,60,0,0,18,0,0,0,0,0,22,3,2,3,9,9,4,12,14,83,4,84,631,"4,161","10,162","8,284","5,209","4,436",700
,Japan,114,254,542,984,"1,308","1,704","2,651","2,478","2,500","3,228","4,159","3,553","3,612","4,345","4,015","3,771","4,984","5,165","5,153","4,538","3,036","2,969","2,711","4,175","4,621","5,100","4,405","3,846","4,137","3,817","3,404","3,243","3,220","2,956","2,298","2,542","2,774","2,769","2,453","2,206","1,983","1,776","1,562","1,434","1,374","1,393","1,276","1,084","1,629","1,649","1,418","1,481","1,897","1,003",903,649,561,594,600
,Mexico,27,41,173,13,56,56,25,85,31,26,22,84,186,200,583,300,445,638,"1,518","2,290","3,193",945,"3,227","3,329","2,481",627,810,875,"2,256","3,020","3,025","5,015","4,024","3,118","2,544","1,764","2,091","3,379","3,338","4,890","5,037","4,837","3,384","3,002","2,931","3,029","1,954","1,156","2,484","2,486","2,379","1,369","1,793",162,29,661,548,98,500
,Sudan,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,5,0,15,15,0,163,131,15,48,12,0,8,0,0,0,10,25,15,15,160,211,300,300,300,400,200,125,175,75,120,200,120,150,200
,Kenya,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,35,0,5,0,1,1,0,0,0,8,13,3,38,21,4,2,8,59,11,74,102,94,117,54,146,141,150
,South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,6,108,87,19,36,148,150
,Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,66,74,46,71,58,62,71,46,189,268,404,568,729,544,404,109,98,134,54,49,100
,Somalia,,0,0,0,0,0,0,0,0,0,6,13,7,5,4,12,10,12,10,10,10,10,10,9,20,27,0,0,0,0,2,0,8,7,0,0,0,0,0,23,0,15,1,0,18,85,25,131,50,25,10,0,5,20,20,70,60,80,100
,South Korea,,,,,,,,,,,,,,63,28,0,35,9,80,24,33,371,238,360,303,304,37,0,640,134,0,124,117,13,51,172,72,1,1,4,4,4,4,28,6,14,5,17,4,3,4,6,6,6,6,4,5,62,70
,Colombia,,10,1,8,2,1,0,1,0,14,14,0,21,37,20,0,137,20,11,172,33,96,114,43,100,25,0,21,0,0,0,0,17,43,31,90,38,50,100,3,1,2,62,29,0,5,67,66,202,212,391,592,591,104,0,64,0,56,50
,China (Taiwan),,,,,,,,,,,,,,,,142,388,427,591,392,734,824,615,583,637,775,890,186,162,29,57,52,18,31,30,94,80,72,37,41,39,41,64,61,61,69,64,83,72,71,97,84,116,111,71,74,48,64,50
,Uganda,0,0,0,0,0,1,0,1,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,17,21,50,33,0,5,5,0,10,25,25,35,10,40,35,50
,Republic Of South Africa,1,1,2,2,2,1,3,2,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,33,15,0,2,2,0,0,0,52,121,0,13,2,0,0,17,36,0,66,27,17,2,13,2,32,4,4,0,71,44,61,0,83,82,26,40
,"Eritrea, Begins 7/1993",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,31,17,21,43,38,25,25,25,50,55,81,25,25,30,30,55,0,25,0,0,0,1,0,30,30
,Botswana,0,0,30,30,35,40,40,2,45,30,50,50,55,60,40,40,1,4,4,32,4,5,23,15,10,5,0,6,0,0,0,0,2,6,7,72,16,25,53,40,40,45,25,25,20,20,20,20,20,50,24,34,54,24,21,14,8,3,25
,Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,10,10,10,25,10,15,25,15,30,15,25
,Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,5,25,5,25,25,0,40,10,25,25,25,25,25,25,25,25
,Niger,0,0,0,0,0,0,0,0,0,0,3,2,21,112,46,36,29,50,50,30,25,45,45,25,90,0,0,69,0,0,25,16,5,12,1,2,6,0,2,0,25,25,25,50,50,50,50,50,50,60,50,50,25,25,25,25,25,25,25
,Pakistan,0,0,0,0,0,0,0,19,0,3,0,1,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,2,4,32,7,11,10,14,32,231,4,64,25
,"Ethiopia, United Ends 6/1993 & New Begin",15,15,0,3,3,10,3,1,1,2,3,1,7,2,21,1,1,1,1,0,0,0,0,25,25,2,0,0,0,10,0,42,0,87,6,26,10,88,50,50,25,0,5,0,0,0,0,30,140,125,35,30,50,21,83,24,16,6,20
,Israel,190,205,144,198,176,189,355,379,405,542,520,553,614,679,656,617,708,708,550,367,478,400,341,575,503,509,229,366,415,348,171,133,224,66,214,357,473,83,92,180,83,26,69,104,34,44,78,144,71,39,111,22,62,84,11,22,21,29,20
,Rwanda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,10,0,15,25,10,10,10,10,20,20
,Uruguay,0,0,0,5,2,0,0,10,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,4,0,0,1,0,1,1,1,2,1,1,28,1,0,1,2,1,9,4,22,27,6,8,3,4,6,14,9,2,4,20
,Mozambique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,0,0,0,0,0,0,0,0,16,3,11,3,0,0,2,4,0,0,0,0,4,9,0,10
,Peru,,0,0,0,1,1,8,5,0,0,5,15,26,26,91,26,50,50,0,25,0,0,0,0,0,0,0,0,0,0,0,20,7,9,15,17,2,0,0,0,0,0,0,0,1,0,22,19,17,31,57,58,47,17,0,0,0,0,10
,Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,61,16,4,4,24,7,7,9,31,14,16,17,13,18,46,14,16,19,22,10
,Saudi Arabia,37,23,28,27,6,6,3,1,3,0,1,1,1,0,84,8,40,250,425,610,680,880,600,437,180,200,112,122,0,0,33,41,0,10,0,0,4,9,0,0,1,0,1,1,0,3,1,7,4,4,5,69,127,148,11,9,4,100,10
,Zimbabwe,2,1,4,19,12,12,10,15,15,20,10,10,10,10,10,10,10,10,0,0,0,0,9,0,0,0,0,0,0,12,0,0,50,0,0,0,0,0,0,0,0,0,1,30,3,60,20,25,30,35,20,15,5,5,5,20,10,10,10
,Bolivia,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,0,1,4,0,0,0,0,4,2,3,2,2,1,2,2,5
,Swaziland,,,,,,,,,,,,,,,,,17,10,0,0,0,0,8,10,10,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,8,4,0,0,0,0,0,0,0,0,0,0,0,3,3,4,5,3,3
,Iraq,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,5,1,1,1,1,5,2,1
,Argentina,1,3,4,6,4,5,3,1,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,1,0,1,1,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0
,Australia (No Islands),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Benin,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,2,0,5,0,0,0,0,0,0,0
,Brazil,5,11,7,10,7,5,22,4,16,20,19,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,5,3,0,0,0,21,258,141,4,0,9,82,12,1,12,2,4,1,0,0,1,0,4,0,0,0
,Burkina Faso,0,0,10,1,0,0,1,3,0,0,20,10,15,22,30,3,0,4,0,0,0,8,0,52,10,0,0,6,0,0,37,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Burundi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Central African Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Congo(Kinshasa),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Ivory Coast,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,15,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Dominican Republic,,,,,,,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Ecuador,,,,,,,,,,,,,,,,,14,6,0,0,0,0,32,10,20,0,20,97,31,30,33,55,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,8,27,27,0,22,0,0,0,0,0,0
,Egypt,1,10,7,14,6,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,11,0,0,18,1,0,0,0,0,0,0,0,0,0,0,2,41,22,21,54,1,3,1,1,5,1,0
,El Salvador,2,1,2,2,1,5,3,0,1,0,0,0,0,0,0,0,40,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,8,23,5,0,0,0,0,0,0,0,0,0,0,3,0,0,11,3,0,0,0,0,0,0,0
,The Gambia,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Ghana,0,0,0,0,0,0,4,0,0,6,0,0,1,0,0,0,10,10,20,8,0,0,0,2,0,0,0,0,0,5,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,20,0,0,0,0,0,0
,Guatemala,0,0,0,1,0,0,1,2,2,5,5,4,0,0,0,0,24,30,5,16,10,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
